subject_id,condition,channel,band,lowcut,highcut,correlation_direct,pvalue_direct,correlation_max_lagged,optimal_lag_ms,env_source
2,VIZ,EEG-ch1,delta,0.5,4,0.009122605225737355,0.010463643431214052,-0.02363850565740316,-339.84375,env_delta
2,VIZ,EEG-ch2,delta,0.5,4,0.013652580648948406,0.00012737198277175824,0.02844765385162539,257.8125,env_delta
2,VIZ,EEG-ch3,delta,0.5,4,0.024958911717045097,2.464931072941772e-12,0.02525939697331031,19.53125,env_delta
2,VIZ,EEG-ch4,delta,0.5,4,0.015171881578302045,2.0634575416790868e-05,0.03330959710079007,257.8125,env_delta
2,VIZ,EEG-ch5,delta,0.5,4,0.012334234995303128,0.0005372285861567732,-0.022961166271980474,-335.9375,env_delta
2,VIZ,EEG-ch6,delta,0.5,4,0.014215762548996211,6.61978252601375e-05,0.03295542657518273,214.84375,env_delta
2,VIZ,EEG-ch7,delta,0.5,4,0.037316265756824646,1.1174862825748472e-25,0.04561817964224504,253.90625,env_delta
2,VIZ,EEG-ch8,delta,0.5,4,0.031736957952019945,5.170570889754453e-19,0.03546050597539394,226.5625,env_delta
2,VIZ,EEG-ch9,delta,0.5,4,0.022614098871591538,2.1958542343952502e-10,0.035959142454214076,234.375,env_delta
2,VIZ,EEG-ch10,delta,0.5,4,0.03146245526533324,1.03321912736905e-18,0.03294358980047747,-46.875,env_delta
2,VIZ,EEG-ch11,delta,0.5,4,0.023819665171689836,2.3024518894429096e-11,0.044825934601800045,261.71875,env_delta
2,VIZ,EEG-ch12,delta,0.5,4,0.043213357020995706,7.09792571055226e-34,0.046255363817972114,171.875,env_delta
2,VIZ,EEG-ch14,delta,0.5,4,0.02279825897960549,1.5672726310970293e-10,0.0389052315194912,238.28125,env_delta
2,VIZ,EEG-ch15,delta,0.5,4,0.023470715033564002,4.473994635350018e-11,0.03957725887608475,218.75,env_delta
2,VIZ,EEG-ch16,delta,0.5,4,0.02670750793981646,6.567859083898181e-14,0.03908976073115916,246.09375,env_delta
2,VIZ,EEG-ch17,delta,0.5,4,0.003425988592199957,0.33633412347608144,0.029396045318732935,226.5625,env_delta
2,VIZ,EEG-ch20,delta,0.5,4,0.01640840461539654,4.125051179338676e-06,0.032831893415942705,128.90625,env_delta
2,VIZ,EEG-ch21,delta,0.5,4,0.01905733758520361,8.867507640194362e-08,0.03235464929800151,-117.1875,env_delta
2,VIZ,EEG-ch22,delta,0.5,4,0.012980501698488644,0.00026963018386976195,0.036349144877433466,234.375,env_delta
